Year,Month,Region,SalesTarget
2023,1,North America,16571.11
2023,1,Europe,42916.93
2023,1,Asia Pacific,15576.86
2023,2,North America,38268.38
2023,2,Europe,38307.76
2023,2,Asia Pacific,38506.28
2023,3,North America,44878.19
2023,3,Europe,26379.35
2023,3,Asia Pacific,38820.74
2023,4,North America,39248.97
2023,4,Europe,17877.62
2023,4,Asia Pacific,39545.28
2023,5,North America,42121.76
2023,5,Europe,44805.74
2023,5,Asia Pacific,20171.56
2023,6,North America,30666.09
2023,6,Europe,17709.72
2023,6,Asia Pacific,34817.7
2023,7,North America,24847.81
2023,7,Europe,17033.37
2023,7,Asia Pacific,25365.05
2023,8,North America,17212.47
2023,8,Europe,39867.06
2023,8,Asia Pacific,17385.93
2023,9,North America,20001.47
2023,9,Europe,17299.99
2023,9,Asia Pacific,42278.1
2023,10,North America,41992.21
2023,10,Europe,41957.07
2023,10,Asia Pacific,37548.52
2023,11,North America,31585.08
2023,11,Europe,44173.39
2023,11,Asia Pacific,34250.53
2023,12,North America,37833.19
2023,12,Europe,39531.6
2023,12,Asia Pacific,28012.48
2024,1,North America,40857.58
2024,1,Europe,39225.5
2024,1,Asia Pacific,20361.73
2024,2,North America,25739.2
2024,2,Europe,42498.82
2024,2,Asia Pacific,38578.9
2024,3,North America,27595.48
2024,3,Europe,40615.07
2024,3,Asia Pacific,28837.15
2024,4,North America,30326.97
2024,4,Europe,30857.04
2024,4,Asia Pacific,15170.87
2024,5,North America,44048.56
2024,5,Europe,41602.43
2024,5,Asia Pacific,42170.67
2024,6,North America,20536.95
2024,6,Europe,42637.22
2024,6,Asia Pacific,42017.97
2024,7,North America,43918.79
2024,7,Europe,40117.03
2024,7,Asia Pacific,19804.72
2024,8,North America,28516.12
2024,8,Europe,42158.46
2024,8,Asia Pacific,43109.23
2024,9,North America,19471.21
2024,9,Europe,23836.53
2024,9,Asia Pacific,38672.34
2024,10,North America,30256.21
2024,10,Europe,21270.31
2024,10,Asia Pacific,32764.63
2024,11,North America,38015.07
2024,11,Europe,22371.93
2024,11,Asia Pacific,42458.86
2024,12,North America,32019.0
2024,12,Europe,43488.42
2024,12,Asia Pacific,34679.15
2025,1,North America,32249.97
2025,1,Europe,26872.59
2025,1,Asia Pacific,15727.56
2025,2,North America,30190.14
2025,2,Europe,18769.38
2025,2,Asia Pacific,43599.07
2025,3,North America,20508.01
2025,3,Europe,26645.58
2025,3,Asia Pacific,16929.4
2025,4,North America,22792.38
2025,4,Europe,23833.19
2025,4,Asia Pacific,29028.92
2025,5,North America,31570.27
2025,5,Europe,34414.78
2025,5,Asia Pacific,25796.49
2025,6,North America,33308.86
2025,6,Europe,17259.58
2025,6,Asia Pacific,20091.19
2025,7,North America,42003.42
2025,7,Europe,20461.32
2025,7,Asia Pacific,28019.82
2025,8,North America,21860.59
2025,8,Europe,28921.98
2025,8,Asia Pacific,38154.54
2025,9,North America,18394.8
2025,9,Europe,22780.28
2025,9,Asia Pacific,24638.34
2025,10,North America,15493.27
2025,10,Europe,29043.99
2025,10,Asia Pacific,23019.16
2025,11,North America,36887.56
2025,11,Europe,32815.19
2025,11,Asia Pacific,16843.94
2025,12,North America,20584.55
2025,12,Europe,44193.47
2025,12,Asia Pacific,16990.67
