OrderID,DateKey,CustomerID,ProductID,RepID,Quantity,Discount,SalesAmount,CostAmount,Profit,Region
100001,20240919,132,1010,8,3,0.0,1181.54,828.84,352.7,Europe
100002,20240809,23,1095,9,7,0.0,690.31,327.56,362.75,Europe
100003,20230414,223,1029,10,5,0.0,182.05,114.3,67.75,Europe
100004,20230911,227,1015,1,3,0.0,1068.21,734.94,333.27,North America
100005,20240524,31,1085,1,1,0.05,381.44,305.36,76.08,North America
100006,20230409,35,1050,2,1,0.05,30.97,17.41,13.56,North America
100007,20230602,121,1069,11,3,0.2,775.7,445.89,329.81,Asia Pacific
100008,20250702,122,1034,13,3,0.0,280.41,128.15,152.26,Asia Pacific
100009,20250527,58,1020,13,2,0.15,195.81,131.96,63.85,Asia Pacific
100010,20231204,43,1026,8,15,0.1,10689.57,5641.5,5048.07,Europe
100011,20250401,19,1038,2,3,0.0,1574.23,1151.9,422.33,North America
100012,20250814,197,1085,12,1,0.2,355.63,338.07,17.56,Asia Pacific
100013,20230610,154,1047,6,2,0.15,917.92,619.06,298.86,Europe
100014,20250311,117,1054,7,4,0.15,550.61,473.08,77.53,Europe
100015,20240202,139,1019,13,3,0.0,1568.78,924.91,643.87,Asia Pacific
100016,20250326,200,1035,5,5,0.0,2842.7,1922.25,920.45,North America
100017,20240205,25,1066,10,5,0.0,470.18,293.16,177.02,Europe
100018,20241001,92,1009,2,3,0.0,921.78,590.08,331.7,North America
100019,20251122,214,1062,6,2,0.1,357.28,235.67,121.61,Europe
100020,20241118,54,1060,5,5,0.15,3248.08,1814.06,1434.02,North America
100021,20240404,135,1089,14,5,0.05,2840.51,2100.06,740.45,Asia Pacific
100022,20250812,174,1040,10,2,0.0,1596.52,857.91,738.61,Europe
100023,20240414,96,1018,10,1,0.0,194.8,140.36,54.44,Europe
100024,20251111,64,1011,8,5,0.15,1034.08,746.48,287.6,Europe
100025,20250119,97,1066,13,2,0.2,166.58,129.83,36.75,Asia Pacific
100026,20230207,99,1069,3,3,0.15,824.19,445.89,378.3,North America
100027,20230818,46,1098,6,2,0.1,1106.69,583.5,523.19,Europe
100028,20240716,137,1001,14,2,0.2,969.22,658.87,310.35,Asia Pacific
100029,20240313,219,1019,11,4,0.0,2091.71,1233.21,858.5,Asia Pacific
100030,20230127,165,1063,15,2,0.0,1361.48,656.24,705.24,Asia Pacific
100031,20230814,43,1043,9,2,0.0,1098.76,586.38,512.38,Europe
100032,20250308,56,1020,11,2,0.1,207.33,131.96,75.37,Asia Pacific
100033,20231011,169,1005,12,4,0.15,97.0,52.52,44.48,Asia Pacific
100034,20250528,70,1026,1,1,0.0,981.86,466.36,515.5,North America
100035,20250817,10,1067,8,3,0.0,2233.79,1404.11,829.68,Europe
100036,20240328,132,1073,8,2,0.0,964.79,550.55,414.24,Europe
100037,20251016,39,1005,15,2,0.15,60.14,32.56,27.58,Asia Pacific
100038,20250326,40,1053,7,8,0.15,2789.81,1657.63,1132.18,Europe
100039,20241020,35,1004,3,6,0.15,2682.76,1629.2,1053.56,North America
100040,20240630,177,1077,13,4,0.05,2547.34,1766.6,780.74,Asia Pacific
100041,20251208,94,1066,12,1,0.0,104.11,64.91,39.2,Asia Pacific
100042,20230117,243,1054,11,3,0.1,352.62,286.14,66.48,Asia Pacific
100043,20230607,201,1026,11,6,0.15,4038.28,2256.6,1781.68,Asia Pacific
100044,20240421,53,1048,3,3,0.0,1197.17,710.57,486.6,North America
100045,20251205,135,1021,11,7,0.0,341.64,161.27,180.37,Asia Pacific
100046,20240601,82,1018,7,2,0.1,350.64,280.72,69.92,Europe
100047,20230409,175,1003,2,5,0.05,275.97,139.7,136.27,North America
100048,20251126,51,1028,15,2,0.15,124.33,99.08,25.25,Asia Pacific
100049,20231007,148,1040,4,8,0.2,4120.06,2767.44,1352.62,North America
100050,20240511,165,1010,15,3,0.0,1181.54,828.84,352.7,Asia Pacific
100051,20231029,154,1061,10,6,0.2,877.1,783.66,93.44,Europe
100052,20230630,195,1091,11,2,0.0,1547.36,740.5,806.86,Asia Pacific
100053,20240829,223,1061,10,4,0.15,695.84,585.13,110.71,Europe
100054,20241130,119,1094,10,7,0.15,2166.47,1679.41,487.06,Europe
100055,20250919,230,1018,15,2,0.2,345.08,310.79,34.29,Asia Pacific
100056,20230710,219,1070,12,2,0.15,999.6,770.34,229.26,Asia Pacific
100057,20230910,212,1041,7,1,0.15,156.54,135.7,20.84,Europe
100058,20250907,123,1067,13,3,0.1,2010.41,1404.11,606.3,Asia Pacific
100059,20250716,217,1086,1,4,0.0,1546.13,1028.11,518.02,North America
